method,bin,support_n,mean_confidence,accuracy
raw,7,1,0.7579968571662903,0.0
raw,9,99,0.9852871533596155,0.35353535353535354
temperature_scaling,5,80,0.5582318818124327,0.225
temperature_scaling,6,20,0.6156153189700727,0.85
isotonic,0,43,0.02515555277427292,0.06976744186046512
isotonic,1,1,0.1994587008253893,1.0
isotonic,3,4,0.3333333333333333,0.25
isotonic,4,1,0.4134888438133874,0.0
isotonic,5,27,0.5936456261623652,0.4074074074074074
isotonic,6,18,0.631578947368421,0.8333333333333334
isotonic,7,1,0.701280227596017,1.0
