document_id,dataset,split,model,prediction_source,ground_truth_leaf_count,line_item_count,text_token_count,document_text_length,ocr_box_count,image_width,image_height,aspect_ratio,image_megapixels,text_density,numeric_token_density,monetary_field_count,monetary_field_density,hierarchy_depth,subtotal_present,tax_present,discount_present,total_present,total_amount,blur,luminance,contrast,estimated_skew,edge_density,foreground_density,number_extracted_fields,document_exact,leaf_precision,leaf_recall,leaf_f1,total_exact,total_value_present,confidence,calibrated_confidence,rfdi_risk_score,schema_failure,reconciliation_failure,model_disagreement_score,routing_decision,critical_error,latency_seconds,corruption,severity
cord-v2-validation-00000,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,12,3,18,81,18,864,1296,0.6666666666666666,1.119744,16.075102880658434,0.5,6,0.5,3,False,False,False,True,45500.0,325.73479551486554,156.8689646919296,64.278649937984,0.0,0.010542588305898491,0.336729645347508,12,True,1.0,1.0,1.0,True,True,0.9999556541442871,,,False,False,,,False,3.3368412840009114,clean,none
cord-v2-validation-00001,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,6,1,11,57,11,1108,1478,0.7496617050067659,1.637624,6.717048602121122,0.45454545454545453,4,0.6666666666666666,2,False,False,False,True,23000.0,359.4091576640535,155.2665514183964,41.418742807921575,0.0,0.0457021880480501,0.4335238125479353,6,True,1.0,1.0,1.0,True,True,0.9999263286590576,,,False,False,,,False,0.49131335399943055,clean,none
cord-v2-validation-00002,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,10,1,18,101,18,418,740,0.5648648648648649,0.30932,58.19216345532136,0.6111111111111112,7,0.7,2,True,True,False,True,20000.0,499.0882211791431,170.39767554635975,29.011132706697897,0.0,0.02583408767619294,0.08053148842622526,10,False,0.8,0.8,0.8000000000000002,True,True,0.990087628364563,,,False,False,,,False,0.7661978039996029,clean,none
cord-v2-validation-00003,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,11,1,19,93,19,2304,4096,0.5625,9.437184,2.0133124457465277,0.5263157894736842,7,0.6363636363636364,4,True,True,False,True,28000.0,64.89852785164447,89.14498488108318,82.45159070301887,0.0,0.0067187415228949655,0.6172746022542318,11,False,0.9090909090909091,0.9090909090909091,0.9090909090909091,True,True,0.9871588349342346,,,False,False,,,False,1.04411285200149,clean,none
cord-v2-validation-00004,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,11,1,16,76,16,576,864,0.6666666666666666,0.497664,32.150205761316876,0.5625,7,0.6363636363636364,3,True,False,False,True,41000.0,336.65221757369477,108.74178361304013,52.62711501535646,0.0,0.022525237911522635,0.27543081275720166,11,False,0.8181818181818182,0.8181818181818182,0.8181818181818182,True,True,0.9957450032234192,,,False,False,,,False,1.0935863529994094,clean,none
cord-v2-validation-00005,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,7,1,14,58,14,960,1280,0.75,1.2288,11.393229166666668,0.5,5,0.7142857142857143,2,True,True,False,True,8000.0,73.36770584037504,150.70862223307293,22.008252119016177,0.0,0.0051904296875,0.28752766927083334,6,False,1.0,0.8571428571428571,0.923076923076923,True,True,0.9757527709007263,,,False,False,,,False,0.6884710199992696,clean,none
cord-v2-validation-00006,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,11,3,21,102,21,864,1296,0.6666666666666666,1.119744,18.75428669410151,0.38095238095238093,5,0.45454545454545453,3,False,False,False,True,123000.0,370.99170116826264,136.36873428212164,29.507604754003868,0.0,0.01818987197073617,0.1105377657750343,11,True,1.0,1.0,1.0,True,True,0.9999881982803345,,,False,False,,,False,1.4524602870005765,clean,none
cord-v2-validation-00007,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,10,1,21,112,21,576,864,0.6666666666666666,0.497664,42.19714506172839,0.5238095238095238,8,0.8,2,True,True,True,True,59500.0,216.78043732638847,125.53484278549382,46.08279962140824,0.0,0.020807211291152265,0.42658098636831276,11,False,0.8181818181818182,0.9,0.8571428571428572,True,True,0.9799718856811523,,,False,False,,,True,1.1410244809994765,clean,none
cord-v2-validation-00008,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,14,2,24,120,24,576,864,0.6666666666666666,0.497664,48.22530864197531,0.5416666666666666,10,0.7142857142857143,3,True,False,True,True,11700.0,2225.687659178869,123.46582634066358,84.67030611366775,0.0,0.06683625900205761,0.4975384998713992,14,True,1.0,1.0,1.0,True,True,0.9994972944259644,,,False,False,,,False,1.1561730319990602,clean,none
cord-v2-validation-00009,CORD v2,validation,Donut,artifacts/v2/results/donut_development.json,6,1,12,51,12,1152,1728,0.6666666666666666,1.990656,6.028163580246914,0.4166666666666667,4,0.6666666666666666,2,False,False,False,True,20000.0,209.57055761545664,97.35501764242541,97.2159736300141,0.0,0.01725662294238683,0.5436745474858539,6,False,0.5,0.5,0.5,True,True,0.9999040961265564,,,False,False,,,True,0.5642686369992589,clean,none
