model,corruption,severity,support_n,metric,value,clean_reference,absolute_delta,development_only
Donut CORD v2,clean,clean,10,content_presence_recall,0.9298319327731093,0.9298319327731093,0.0,True
Donut CORD v2,clean,clean,10,critical_content_presence_recall,0.9,0.9,0.0,True
Donut CORD v2,clean,clean,10,latency_seconds,3.014131043999896,3.014131043999896,0.0,True
Donut CORD v2,clean,clean,10,leaf_f1,0.9221396250808016,0.9221396250808016,0.0,True
Donut CORD v2,gaussian_blur,low,10,content_presence_recall,0.9000700280112045,0.9298319327731093,-0.029761904761904767,True
Donut CORD v2,gaussian_blur,low,10,critical_content_presence_recall,0.875,0.9,-0.025000000000000022,True
Donut CORD v2,gaussian_blur,low,10,latency_seconds,2.157709271100157,3.014131043999896,-0.856421772899739,True
Donut CORD v2,gaussian_blur,low,10,leaf_f1,0.8572128851540616,0.9221396250808016,-0.06492673992674003,True
Donut CORD v2,gaussian_blur,high,10,content_presence_recall,0.7072128851540617,0.9298319327731093,-0.2226190476190476,True
Donut CORD v2,gaussian_blur,high,10,critical_content_presence_recall,0.7,0.9,-0.20000000000000007,True
Donut CORD v2,gaussian_blur,high,10,latency_seconds,1.8848954619000324,3.014131043999896,-1.1292355820998636,True
Donut CORD v2,gaussian_blur,high,10,leaf_f1,0.7072128851540617,0.9221396250808016,-0.21492673992673994,True
Donut CORD v2,rotation,low,10,content_presence_recall,0.9441176470588235,0.9298319327731093,0.014285714285714235,True
Donut CORD v2,rotation,low,10,critical_content_presence_recall,0.9,0.9,0.0,True
Donut CORD v2,rotation,low,10,latency_seconds,1.9260769180999886,3.014131043999896,-1.0880541258999075,True
Donut CORD v2,rotation,low,10,leaf_f1,0.896498599439776,0.9221396250808016,-0.02564102564102566,True
Donut CORD v2,rotation,high,10,content_presence_recall,0.9441176470588235,0.9298319327731093,0.014285714285714235,True
Donut CORD v2,rotation,high,10,critical_content_presence_recall,0.9,0.9,0.0,True
Donut CORD v2,rotation,high,10,latency_seconds,2.3239721730999916,3.014131043999896,-0.6901588708999045,True
Donut CORD v2,rotation,high,10,leaf_f1,0.8749447147279964,0.9221396250808016,-0.04719491035280521,True
Donut CORD v2,downsampling,low,10,content_presence_recall,0.9143557422969187,0.9298319327731093,-0.015476190476190532,True
Donut CORD v2,downsampling,low,10,critical_content_presence_recall,0.875,0.9,-0.025000000000000022,True
Donut CORD v2,downsampling,low,10,latency_seconds,1.9253817348002484,3.014131043999896,-1.0887493091996476,True
Donut CORD v2,downsampling,low,10,leaf_f1,0.8714985994397759,0.9221396250808016,-0.05064102564102568,True
