policy,coverage,selective_risk
raw_confidence,0.01,1.0
raw_confidence,0.02,0.5
raw_confidence,0.03,0.3333333333333333
raw_confidence,0.04,0.25
raw_confidence,0.05,0.4
raw_confidence,0.06,0.3333333333333333
raw_confidence,0.07,0.2857142857142857
raw_confidence,0.08,0.25
raw_confidence,0.09,0.2222222222222222
raw_confidence,0.1,0.2
raw_confidence,0.11,0.18181818181818182
raw_confidence,0.12,0.16666666666666666
raw_confidence,0.13,0.15384615384615385
raw_confidence,0.14,0.14285714285714285
raw_confidence,0.15,0.13333333333333333
raw_confidence,0.16,0.125
raw_confidence,0.17,0.11764705882352941
raw_confidence,0.18,0.1111111111111111
raw_confidence,0.19,0.15789473684210525
raw_confidence,0.2,0.15
raw_confidence,0.21,0.14285714285714285
raw_confidence,0.22,0.18181818181818182
raw_confidence,0.23,0.17391304347826086
raw_confidence,0.24,0.20833333333333334
raw_confidence,0.25,0.24
raw_confidence,0.26,0.23076923076923078
raw_confidence,0.27,0.2222222222222222
raw_confidence,0.28,0.21428571428571427
raw_confidence,0.29,0.2413793103448276
raw_confidence,0.3,0.26666666666666666
raw_confidence,0.31,0.25806451612903225
raw_confidence,0.32,0.25
raw_confidence,0.33,0.2727272727272727
raw_confidence,0.34,0.29411764705882354
raw_confidence,0.35,0.2857142857142857
raw_confidence,0.36,0.3055555555555556
raw_confidence,0.37,0.32432432432432434
raw_confidence,0.38,0.3157894736842105
raw_confidence,0.39,0.3333333333333333
raw_confidence,0.4,0.35
raw_confidence,0.41,0.34146341463414637
raw_confidence,0.42,0.3333333333333333
raw_confidence,0.43,0.3488372093023256
raw_confidence,0.44,0.36363636363636365
raw_confidence,0.45,0.37777777777777777
raw_confidence,0.46,0.3695652173913043
raw_confidence,0.47,0.3829787234042553
raw_confidence,0.48,0.375
raw_confidence,0.49,0.3877551020408163
raw_confidence,0.5,0.4
raw_confidence,0.51,0.4117647058823529
raw_confidence,0.52,0.4230769230769231
raw_confidence,0.53,0.41509433962264153
raw_confidence,0.54,0.42592592592592593
raw_confidence,0.55,0.43636363636363634
raw_confidence,0.56,0.44642857142857145
raw_confidence,0.57,0.43859649122807015
raw_confidence,0.58,0.4482758620689655
raw_confidence,0.59,0.4576271186440678
raw_confidence,0.6,0.4666666666666667
raw_confidence,0.61,0.47540983606557374
raw_confidence,0.62,0.46774193548387094
raw_confidence,0.63,0.47619047619047616
raw_confidence,0.64,0.484375
raw_confidence,0.65,0.49230769230769234
raw_confidence,0.66,0.48484848484848486
raw_confidence,0.67,0.4925373134328358
raw_confidence,0.68,0.5
raw_confidence,0.69,0.5072463768115942
raw_confidence,0.7,0.5142857142857142
raw_confidence,0.71,0.5211267605633803
raw_confidence,0.72,0.5138888888888888
raw_confidence,0.73,0.5205479452054794
raw_confidence,0.74,0.527027027027027
raw_confidence,0.75,0.5333333333333333
raw_confidence,0.76,0.5394736842105263
raw_confidence,0.77,0.5454545454545454
raw_confidence,0.78,0.5512820512820513
raw_confidence,0.79,0.5569620253164557
raw_confidence,0.8,0.5625
raw_confidence,0.81,0.5679012345679012
raw_confidence,0.82,0.573170731707317
raw_confidence,0.83,0.5783132530120482
raw_confidence,0.84,0.5833333333333334
raw_confidence,0.85,0.5882352941176471
raw_confidence,0.86,0.5930232558139535
raw_confidence,0.87,0.5977011494252874
raw_confidence,0.88,0.6022727272727273
raw_confidence,0.89,0.6067415730337079
raw_confidence,0.9,0.6111111111111112
raw_confidence,0.91,0.6153846153846154
raw_confidence,0.92,0.6195652173913043
raw_confidence,0.93,0.6236559139784946
raw_confidence,0.94,0.6276595744680851
raw_confidence,0.95,0.631578947368421
raw_confidence,0.96,0.6354166666666666
raw_confidence,0.97,0.6391752577319587
raw_confidence,0.98,0.6428571428571429
raw_confidence,0.99,0.6464646464646465
raw_confidence,1.0,0.65
calibrated_confidence,0.01,0.0
calibrated_confidence,0.02,0.0
calibrated_confidence,0.03,0.3333333333333333
calibrated_confidence,0.04,0.25
calibrated_confidence,0.05,0.4
calibrated_confidence,0.06,0.3333333333333333
calibrated_confidence,0.07,0.2857142857142857
calibrated_confidence,0.08,0.25
calibrated_confidence,0.09,0.3333333333333333
calibrated_confidence,0.1,0.3
calibrated_confidence,0.11,0.2727272727272727
calibrated_confidence,0.12,0.25
calibrated_confidence,0.13,0.3076923076923077
calibrated_confidence,0.14,0.2857142857142857
calibrated_confidence,0.15,0.26666666666666666
calibrated_confidence,0.16,0.25
calibrated_confidence,0.17,0.23529411764705882
calibrated_confidence,0.18,0.2222222222222222
calibrated_confidence,0.19,0.21052631578947367
calibrated_confidence,0.2,0.2
calibrated_confidence,0.21,0.19047619047619047
calibrated_confidence,0.22,0.18181818181818182
calibrated_confidence,0.23,0.21739130434782608
calibrated_confidence,0.24,0.20833333333333334
calibrated_confidence,0.25,0.24
calibrated_confidence,0.26,0.2692307692307692
calibrated_confidence,0.27,0.2962962962962963
calibrated_confidence,0.28,0.32142857142857145
calibrated_confidence,0.29,0.3103448275862069
calibrated_confidence,0.3,0.3
calibrated_confidence,0.31,0.2903225806451613
calibrated_confidence,0.32,0.3125
calibrated_confidence,0.33,0.3333333333333333
calibrated_confidence,0.34,0.35294117647058826
calibrated_confidence,0.35,0.37142857142857144
calibrated_confidence,0.36,0.3611111111111111
calibrated_confidence,0.37,0.35135135135135137
