slice_family,slice,support_n,metric,value,overall_reference,absolute_delta,relative_delta,ci95_low,ci95_high,p_value,q_value,practical_significance,statistical_significance,designation
image_megapixels,low,74,leaf_f1,0.8254229260127562,0.8452905700956604,-0.0198676440829042,-0.023503922539507102,0.7801150172726994,0.8671358095677603,0.015992003998001,0.2154478316397357,False,False,headline
image_megapixels,mid,3,leaf_f1,0.8939393939393939,0.8452905700956604,0.04864882384373348,0.0575527819247149,0.6818181818181818,1.0,0.5617191404297851,0.7679270121037043,False,False,insufficient-support
image_megapixels,high,23,leaf_f1,0.9028670566436475,0.8452905700956604,0.05757648654798708,0.06811443139779878,0.855338636274766,0.9447747184845264,0.01999000499750125,0.2154478316397357,True,False,headline
blur,low,34,leaf_f1,0.8328506434936315,0.8452905700956604,-0.012439926602028972,-0.01471674598312526,0.7547308628679024,0.8951330736337907,0.6461769115442278,0.7679270121037043,False,False,headline
blur,mid,29,leaf_f1,0.8381165727020459,0.8452905700956604,-0.007173997393614573,-0.00848701931313714,0.7725591396728594,0.8966392906704719,0.7861069465267366,0.831464702431393,False,False,headline
blur,high,37,leaf_f1,0.8623447168222497,0.8452905700956604,0.017054146726589225,0.020175484419114282,0.8046062180359668,0.9146414894564174,0.47926036981509246,0.7679270121037043,False,False,headline
contrast,low,35,leaf_f1,0.8371391813840514,0.8452905700956604,-0.008151388711609031,-0.00964329781969122,0.7796288133435192,0.8918526170765373,0.7416291854072964,0.8082924829719972,False,False,headline
contrast,mid,30,leaf_f1,0.8260497932285473,0.8452905700956604,-0.01924077686711312,-0.022762322860097287,0.7338796511825187,0.8971933005953443,0.5622188905547226,0.7679270121037043,False,False,headline
contrast,high,35,leaf_f1,0.8699340532647948,0.8452905700956604,0.02464348316913434,0.029153860271202918,0.821509101686756,0.9129501208741925,0.2703648175912044,0.7679270121037043,False,False,headline
luminance,low,33,leaf_f1,0.8514715459570508,0.8452905700956604,0.006180975861390325,0.007312249870113696,0.7762237526964926,0.9189649575710959,0.8310844577711144,0.8668300258472913,False,False,headline
luminance,mid,41,leaf_f1,0.8276185822488338,0.8452905700956604,-0.017671987846826664,-0.020906406000515004,0.7692859273255732,0.8817924071700844,0.39930034982508744,0.7679270121037043,False,False,headline
luminance,high,26,leaf_f1,0.8653128507992761,0.8452905700956604,0.02002228070361567,0.02368686155028297,0.8135010984804537,0.9106889511632159,0.4302848575712144,0.7679270121037043,False,False,headline
edge_density,low,30,leaf_f1,0.8408222917242525,0.8452905700956604,-0.004468278371407952,-0.0052860856721757615,0.7499785645364078,0.9131205670872339,0.8810594702648675,0.8996080906914964,False,False,headline
edge_density,mid,35,leaf_f1,0.8925198713281896,0.8452905700956604,0.04722930123252911,0.05587345098051222,0.8490679723631803,0.9290605445438629,0.017991004497751123,0.2154478316397357,False,False,headline
edge_density,high,35,leaf_f1,0.8018912217529094,0.8452905700956604,-0.043399348342751054,-0.05134252040436179,0.7368501865901504,0.8597449798714977,0.07546226886556721,0.46657921039480255,False,False,headline
foreground_density,low,37,leaf_f1,0.8084452945908054,0.8452905700956604,-0.03684527550485506,-0.04358888742918938,0.7330559374522224,0.8725247905665865,0.14992503748125938,0.765406770299061,False,False,headline
foreground_density,mid,34,leaf_f1,0.8763648385204602,0.8452905700956604,0.031074268424799767,0.036761640936421584,0.820810144920439,0.9265906817597063,0.1924037981009495,0.7679270121037043,False,False,headline
foreground_density,high,29,leaf_f1,0.8558681586210548,0.8452905700956604,0.010577588525394366,0.012513553208333217,0.7982630296556901,0.9117797057303896,0.6951524237881059,0.8082924829719972,False,False,headline
image_megapixels,low,69,total_exact,0.9855072463768116,0.9894736842105263,-0.003966437833714642,-0.0040086339808818195,0.9223687753885557,0.9974370753554116,0.6331834082958521,0.7679270121037043,False,False,headline
image_megapixels,mid,3,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.4385029682449681,1.0,0.44877561219390305,0.7679270121037043,False,False,insufficient-support
image_megapixels,high,23,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8568833815495799,0.9999999999999999,0.6286856571714143,0.7679270121037043,False,False,headline
blur,low,33,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8957300024575532,1.0,0.617191404297851,0.7679270121037043,False,False,headline
blur,mid,26,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.871271078140791,1.0,0.6176911544227887,0.7679270121037043,False,False,headline
blur,high,36,total_exact,0.9722222222222222,0.9894736842105263,-0.017251461988304073,-0.01743498817966901,0.8583028134672659,0.9950795928601892,0.6271864067966016,0.7679270121037043,False,False,headline
