slice_family,slice,support_n,metric,value,overall_reference,absolute_delta,relative_delta,ci95_low,ci95_high,p_value,q_value,practical_significance,statistical_significance,designation
ground_truth_leaf_count,low,41,leaf_f1,0.8912301631096466,0.8452905700956604,0.0459395930139862,0.054347693727125425,0.848159432628586,0.9313195845880566,0.01699150424787606,0.2154478316397357,False,False,headline
ground_truth_leaf_count,mid,27,leaf_f1,0.8527366460699795,0.8452905700956604,0.007446075974319011,0.008808895115766343,0.7877880298713633,0.9119429767763102,0.7781109445277361,0.831464702431393,False,False,headline
ground_truth_leaf_count,high,32,leaf_f1,0.780147839943159,0.8452905700956604,-0.0651427301525015,-0.07706548784180732,0.7021561330946481,0.854973354797723,0.034482758620689655,0.33448275862068966,True,False,headline
line_item_count,low,83,leaf_f1,0.8453916847254905,0.8452905700956604,0.00010111462983009023,0.00011962114970553524,0.8015981804602463,0.8847502054013394,0.9850074962518741,0.9952679910044978,False,False,headline
line_item_count,mid,6,leaf_f1,0.8071806784001906,0.8452905700956604,-0.038109891695469855,-0.045084960182576045,0.6733345245540368,0.9340079365079365,0.6066966516741629,0.7679270121037043,False,False,insufficient-support
line_item_count,high,11,leaf_f1,0.865314827904471,0.8452905700956604,0.020024257808810564,0.023689200515444583,0.8021538107633249,0.9220479406535689,0.5397301349325337,0.7679270121037043,False,False,exploratory
ocr_token_count,low,32,leaf_f1,0.8929178460428461,0.8452905700956604,0.04762727594718563,0.05634426507537605,0.8420693022255522,0.9377633759469697,0.04047976011994003,0.3569578846940166,False,False,headline
ocr_token_count,mid,37,leaf_f1,0.864433406786348,0.8452905700956604,0.019142836690687504,0.022646457168593676,0.8058136019165432,0.9153335035835036,0.42478760619690153,0.7679270121037043,False,False,headline
ocr_token_count,high,31,leaf_f1,0.7732790285516159,0.8452905700956604,-0.07201154154404454,-0.08519146444032268,0.6961057689881883,0.8428332281157117,0.01199400299850075,0.2154478316397357,True,False,headline
document_text_length,low,28,leaf_f1,0.8830767446838875,0.8452905700956604,0.037786174588227084,0.0447019947045557,0.8291588124177409,0.9339581425518926,0.13793103448275862,0.7432950191570881,False,False,headline
document_text_length,mid,39,leaf_f1,0.8931918199112769,0.8452905700956604,0.0479012498156165,0.056668383051044297,0.8488115202628779,0.9335245538356396,0.017991004497751123,0.2154478316397357,False,False,headline
document_text_length,high,33,leaf_f1,0.756619005511436,0.8452905700956604,-0.08867156458422443,-0.10490069062782705,0.6726080500175696,0.8265198466928805,0.0014992503748125937,0.04847576211894053,True,True,headline
image_megapixels,low,74,leaf_f1,0.8254229260127562,0.8452905700956604,-0.0198676440829042,-0.023503922539507102,0.7801150172726994,0.8671358095677603,0.015992003998001,0.2154478316397357,False,False,headline
image_megapixels,mid,3,leaf_f1,0.8939393939393939,0.8452905700956604,0.04864882384373348,0.0575527819247149,0.6818181818181818,1.0,0.5617191404297851,0.7679270121037043,False,False,insufficient-support
image_megapixels,high,23,leaf_f1,0.9028670566436475,0.8452905700956604,0.05757648654798708,0.06811443139779878,0.855338636274766,0.9447747184845264,0.01999000499750125,0.2154478316397357,True,False,headline
text_density_tokens_per_megapixel,low,29,leaf_f1,0.92084409505302,0.8452905700956604,0.07555352495735956,0.0893817198845709,0.8812120882273013,0.9573194501858295,0.0004997501249375312,0.024237881059470265,True,True,headline
text_density_tokens_per_megapixel,mid,34,leaf_f1,0.8861686621478133,0.8452905700956604,0.04087809205215287,0.048359810813371255,0.8442798786904334,0.9251032104426556,0.0559720139930035,0.452440446443445,False,False,headline
text_density_tokens_per_megapixel,high,37,leaf_f1,0.7485092902703462,0.8452905700956604,-0.09678127982531426,-0.11449468768397789,0.6708626454020948,0.8188109515730352,0.0004997501249375312,0.024237881059470265,True,True,headline
blur,low,34,leaf_f1,0.8328506434936315,0.8452905700956604,-0.012439926602028972,-0.01471674598312526,0.7547308628679024,0.8951330736337907,0.6461769115442278,0.7679270121037043,False,False,headline
blur,mid,29,leaf_f1,0.8381165727020459,0.8452905700956604,-0.007173997393614573,-0.00848701931313714,0.7725591396728594,0.8966392906704719,0.7861069465267366,0.831464702431393,False,False,headline
blur,high,37,leaf_f1,0.8623447168222497,0.8452905700956604,0.017054146726589225,0.020175484419114282,0.8046062180359668,0.9146414894564174,0.47926036981509246,0.7679270121037043,False,False,headline
contrast,low,35,leaf_f1,0.8371391813840514,0.8452905700956604,-0.008151388711609031,-0.00964329781969122,0.7796288133435192,0.8918526170765373,0.7416291854072964,0.8082924829719972,False,False,headline
contrast,mid,30,leaf_f1,0.8260497932285473,0.8452905700956604,-0.01924077686711312,-0.022762322860097287,0.7338796511825187,0.8971933005953443,0.5622188905547226,0.7679270121037043,False,False,headline
contrast,high,35,leaf_f1,0.8699340532647948,0.8452905700956604,0.02464348316913434,0.029153860271202918,0.821509101686756,0.9129501208741925,0.2703648175912044,0.7679270121037043,False,False,headline
luminance,low,33,leaf_f1,0.8514715459570508,0.8452905700956604,0.006180975861390325,0.007312249870113696,0.7762237526964926,0.9189649575710959,0.8310844577711144,0.8668300258472913,False,False,headline
luminance,mid,41,leaf_f1,0.8276185822488338,0.8452905700956604,-0.017671987846826664,-0.020906406000515004,0.7692859273255732,0.8817924071700844,0.39930034982508744,0.7679270121037043,False,False,headline
luminance,high,26,leaf_f1,0.8653128507992761,0.8452905700956604,0.02002228070361567,0.02368686155028297,0.8135010984804537,0.9106889511632159,0.4302848575712144,0.7679270121037043,False,False,headline
edge_density,low,30,leaf_f1,0.8408222917242525,0.8452905700956604,-0.004468278371407952,-0.0052860856721757615,0.7499785645364078,0.9131205670872339,0.8810594702648675,0.8996080906914964,False,False,headline
