slice_family,slice,support_n,metric,value,overall_reference,absolute_delta,relative_delta,ci95_low,ci95_high,p_value,q_value,practical_significance,statistical_significance,designation
text_density_tokens_per_megapixel,high,37,leaf_f1,0.7485092902703462,0.8452905700956604,-0.09678127982531426,-0.11449468768397789,0.6708626454020948,0.8188109515730352,0.0004997501249375312,0.024237881059470265,True,True,headline
document_text_length,high,33,leaf_f1,0.756619005511436,0.8452905700956604,-0.08867156458422443,-0.10490069062782705,0.6726080500175696,0.8265198466928805,0.0014992503748125937,0.04847576211894053,True,True,headline
discount_present,present,10,leaf_f1,0.7634748623363424,0.8452905700956604,-0.08181570775931801,-0.09679003960739682,0.6224908044025691,0.8891935839303011,0.20839580209895053,0.7679270121037043,True,False,exploratory
ocr_token_count,high,31,leaf_f1,0.7732790285516159,0.8452905700956604,-0.07201154154404454,-0.08519146444032268,0.6961057689881883,0.8428332281157117,0.01199400299850075,0.2154478316397357,True,False,headline
ground_truth_leaf_count,high,32,leaf_f1,0.780147839943159,0.8452905700956604,-0.0651427301525015,-0.07706548784180732,0.7021561330946481,0.854973354797723,0.034482758620689655,0.33448275862068966,True,False,headline
edge_density,high,35,leaf_f1,0.8018912217529094,0.8452905700956604,-0.043399348342751054,-0.05134252040436179,0.7368501865901504,0.8597449798714977,0.07546226886556721,0.46657921039480255,False,False,headline
foreground_density,low,37,leaf_f1,0.8084452945908054,0.8452905700956604,-0.03684527550485506,-0.04358888742918938,0.7330559374522224,0.8725247905665865,0.14992503748125938,0.765406770299061,False,False,headline
document_text_length,low,25,total_exact,0.96,0.9894736842105263,-0.02947368421052632,-0.029787234042553196,0.8045593626380687,0.9929037664980125,0.4147926036981509,0.7679270121037043,False,False,headline
luminance,high,26,total_exact,0.9615384615384616,0.9894736842105263,-0.02793522267206472,-0.0282324058919803,0.8110722109696584,0.9931780150064562,0.6286856571714143,0.7679270121037043,False,False,headline
total_amount,high,42,leaf_f1,0.8199354536850362,0.8452905700956604,-0.025355116410624268,-0.029995740290530936,0.7639664806842249,0.8700961072983867,0.23738130934532733,0.7679270121037043,False,False,headline
monetary_field_density,high,28,total_exact,0.9642857142857143,0.9894736842105263,-0.02518796992481198,-0.025455927051671684,0.8228780225664727,0.9936674801509622,0.638680659670165,0.7679270121037043,False,False,headline
ocr_token_count,low,29,total_exact,0.9655172413793104,0.9894736842105263,-0.023956442831215896,-0.024211298606016066,0.8282447812068028,0.9938867857072371,0.6391804097951025,0.7679270121037043,False,False,headline
simple_vs_multi_line_item,multi,61,leaf_f1,0.821555640136791,0.8452905700956604,-0.02373492995886939,-0.02807901897708777,0.7686660000623416,0.8701532211879357,0.08295852073963018,0.47335155951436053,False,False,headline
text_density_tokens_per_megapixel,mid,30,total_exact,0.9666666666666667,0.9894736842105263,-0.02280701754385961,-0.023049645390070882,0.8332960900859135,0.9940914096183872,0.6141929035482259,0.7679270121037043,False,False,headline
subtotal_present,absent,31,total_exact,0.967741935483871,0.9894736842105263,-0.021731748726655287,-0.021962937542896303,0.8380589483527563,0.9942827784745831,0.6196901549225388,0.7679270121037043,False,False,headline
image_megapixels,low,74,leaf_f1,0.8254229260127562,0.8452905700956604,-0.0198676440829042,-0.023503922539507102,0.7801150172726994,0.8671358095677603,0.015992003998001,0.2154478316397357,False,False,headline
edge_density,high,33,total_exact,0.9696969696969697,0.9894736842105263,-0.01977671451355656,-0.019987105093488014,0.846812746178816,0.994630589463128,0.6221889055472264,0.7679270121037043,False,False,headline
foreground_density,low,33,total_exact,0.9696969696969697,0.9894736842105263,-0.01977671451355656,-0.019987105093488014,0.846812746178816,0.994630589463128,0.6141929035482259,0.7679270121037043,False,False,headline
contrast,mid,30,leaf_f1,0.8260497932285473,0.8452905700956604,-0.01924077686711312,-0.022762322860097287,0.7338796511825187,0.8971933005953443,0.5622188905547226,0.7679270121037043,False,False,headline
contrast,high,34,total_exact,0.9705882352941176,0.9894736842105263,-0.018885448916408643,-0.019086357947434268,0.8508442670731458,0.9947890937237309,0.6341829085457271,0.7679270121037043,False,False,headline
