document_id,split,old_critical_error_label,corrected_critical_error_label,old_weighted_loss,corrected_weighted_loss,row_permutation_only,row_semantic_association_error,reason_for_change
cord-v2-validation-00000,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00001,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00002,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00003,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00004,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00005,validation,False,False,0.08823529411764706,0.08823529411764706,False,False,UNCHANGED
cord-v2-validation-00006,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00007,validation,True,True,0.1702127659574468,0.1702127659574468,False,False,UNCHANGED
cord-v2-validation-00008,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00009,validation,True,True,0.8571428571428571,0.8571428571428571,False,False,UNCHANGED
cord-v2-validation-00010,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00011,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00012,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00013,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00014,validation,True,True,0.36065573770491804,0.36065573770491804,False,False,UNCHANGED
cord-v2-validation-00015,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00016,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00017,validation,False,False,0.08333333333333333,0.08333333333333333,False,False,UNCHANGED
cord-v2-validation-00018,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00019,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00020,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00021,validation,True,True,0.11940298507462686,0.11940298507462686,False,False,UNCHANGED
cord-v2-validation-00022,validation,False,False,0.075,0.075,False,False,UNCHANGED
cord-v2-validation-00023,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00024,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00025,validation,False,False,0.21,0.21,False,False,UNCHANGED
cord-v2-validation-00026,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00027,validation,True,True,0.19047619047619047,0.19047619047619047,False,False,UNCHANGED
cord-v2-validation-00028,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00029,validation,True,True,0.16129032258064516,0.16129032258064516,False,False,UNCHANGED
cord-v2-validation-00030,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00031,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00032,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00033,validation,True,True,0.1794871794871795,0.1794871794871795,False,False,UNCHANGED
cord-v2-validation-00034,validation,False,False,0.0,0.0,False,False,UNCHANGED
cord-v2-validation-00035,validation,False,False,0.0,0.0,False,False,UNCHANGED
