document_id,source_document_id,dataset,split,designation,development_partition,image_width,image_height,image_megapixels,aspect_ratio,blur,luminance,contrast,estimated_skew,edge_density,foreground_density,sequence_confidence,predicted_field_count,predicted_line_item_count,predicted_output_length,schema_valid,parse_failure,missing_total,missing_subtotal,missing_tax,missing_discount,missing_any_item_price,reconciliation_residual,reconciliation_contradiction_count,latency_seconds,predicted_repeated_value_density,predicted_long_description,predicted_monetary_density,total_field_disagreement,critical_field_disagreement,row_line_item_disagreement,ground_truth_leaf_count,true_line_item_count,true_ocr_token_count,document_has_critical_error,document_has_line_item_critical_error,document_has_row_structure_failure,document_has_row_semantic_association_error,row_permutation_only,weighted_critical_loss,critical_error_weight,critical_supported_weight,critical_error_count_document_total,critical_error_count_subtotal,critical_error_count_tax,critical_error_count_discount,critical_error_count_item_total_price,critical_error_count_item_unit_price,critical_error_count_quantity,critical_support_count_document_total,critical_support_count_subtotal,critical_support_count_tax,critical_support_count_discount,critical_support_count_item_total_price,critical_support_count_item_unit_price,critical_support_count_quantity,E2_matched_row_f1,E2_matched_field_micro_f1
cord-v2-validation-00000,cord-v2-validation-00000,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,864,1296,1.119744,0.6666666666666666,325.73479551486554,156.8689646919296,64.278649937984,0.0,0.010542588305898491,0.336729645347508,0.9999556541442871,12,3,359,True,False,False,True,True,True,False,0.0,0,3.3368412840009114,0.16666666666666666,12,0.3333333333333333,,,,12,3,18,False,False,False,False,False,0.0,0.0,43.0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1.0,1.0
cord-v2-validation-00001,cord-v2-validation-00001,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,1108,1478,1.637624,0.7496617050067659,359.4091576640535,155.2665514183964,41.418742807921575,0.0,0.0457021880480501,0.4335238125479353,0.9999263286590576,6,1,220,True,False,False,True,True,True,False,0.0,0,0.49131335399943055,0.16666666666666666,17,0.3333333333333333,,,,6,1,11,False,False,False,False,False,0.0,0.0,21.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1.0,1.0
cord-v2-validation-00002,cord-v2-validation-00002,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,418,740,0.30932,0.5648648648648649,499.0882211791431,170.39767554635975,29.011132706697897,0.0,0.02583408767619294,0.08053148842622526,0.990087628364563,10,1,384,True,False,False,False,False,True,False,5e-05,0,0.7661978039996029,0.2,10,0.5,,,,10,1,18,False,False,False,False,False,0.0,0.0,42.0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1.0,0.6
cord-v2-validation-00003,cord-v2-validation-00003,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,2304,4096,9.437184,0.5625,64.89852785164447,89.14498488108318,82.45159070301887,0.0,0.0067187415228949655,0.6172746022542318,0.9871588349342346,11,1,414,True,False,False,False,False,True,False,0.0,0,1.04411285200149,0.36363636363636365,20,0.45454545454545453,,,,11,1,19,False,False,False,False,False,0.0,0.0,42.0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1.0,0.8333333333333334
cord-v2-validation-00004,cord-v2-validation-00004,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,576,864,0.497664,0.6666666666666666,336.65221757369477,108.74178361304013,52.62711501535646,0.0,0.022525237911522635,0.27543081275720166,0.9957450032234192,11,1,392,True,False,False,False,True,True,False,0.0,0,1.0935863529994094,0.36363636363636365,11,0.36363636363636365,,,,11,1,16,False,False,False,False,False,0.0,0.0,39.0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,1.0,0.8333333333333334
cord-v2-validation-00005,cord-v2-validation-00005,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,960,1280,1.2288,0.75,73.36770584037504,150.70862223307293,22.008252119016177,0.0,0.0051904296875,0.28752766927083334,0.9757527709007263,6,1,256,True,False,False,False,False,True,False,0.0,0,0.6884710199992696,0.3333333333333333,10,0.6666666666666666,,,,7,1,14,False,False,False,False,False,0.08823529411764706,3.0,34.0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1.0,0.8
cord-v2-validation-00006,cord-v2-validation-00006,CORD v2,validation,DEVELOPMENT_THRESHOLD_REPLAY,THRESHOLD_SELECTION,864,1296,1.119744,0.6666666666666666,370.99170116826264,136.36873428212164,29.507604754003868,0.0,0.01818987197073617,0.1105377657750343,0.9999881982803345,11,3,371,True,False,False,True,True,True,False,0.0,0,1.4524602870005765,0.36363636363636365,25,0.36363636363636365,,,,11,3,21,False,False,False,False,False,0.0,0.0,43.0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1.0,1.0
cord-v2-validation-00007,cord-v2-validation-00007,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,576,864,0.497664,0.6666666666666666,216.78043732638847,125.53484278549382,46.08279962140824,0.0,0.020807211291152265,0.42658098636831276,0.9799718856811523,11,2,425,True,False,False,False,False,False,False,0.0,0,1.1410244809994765,0.18181818181818182,16,0.5454545454545454,,,,10,1,21,True,True,True,False,False,0.1702127659574468,8.0,47.0,0,0,0,0,1,0,0,1,1,1,1,2,0,1,0.6666666666666666,0.8571428571428571
cord-v2-validation-00008,cord-v2-validation-00008,CORD v2,validation,DEVELOPMENT_THRESHOLD_REPLAY,THRESHOLD_SELECTION,576,864,0.497664,0.6666666666666666,2225.687659178869,123.46582634066358,84.67030611366775,0.0,0.06683625900205761,0.4975384998713992,0.9994972944259644,14,2,500,True,False,False,False,True,True,False,0.0,0,1.1561730319990602,0.07142857142857142,10,0.42857142857142855,,,,14,2,24,False,False,False,False,False,0.0,0.0,55.0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,1.0,1.0
cord-v2-validation-00009,cord-v2-validation-00009,CORD v2,validation,DEVELOPMENT_CORRECTION_REPLAY,FIT,1152,1728,1.990656,0.6666666666666666,209.57055761545664,97.35501764242541,97.2159736300141,0.0,0.01725662294238683,0.5436745474858539,0.9999040961265564,6,1,216,True,False,False,True,True,True,False,0.0,0,0.5642686369992589,0.3333333333333333,18,0.3333333333333333,,,,6,1,12,True,True,False,False,False,0.8571428571428571,18.0,21.0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1.0,0.6666666666666666
