document_id,source_document_id,dataset,split,designation,development_partition,image_width,image_height,image_megapixels,aspect_ratio,blur,luminance,contrast,estimated_skew,edge_density,foreground_density,sequence_confidence,predicted_field_count,predicted_line_item_count,predicted_output_length,schema_valid,parse_failure,missing_total,missing_subtotal,missing_tax,missing_discount,missing_any_item_price,reconciliation_residual,reconciliation_contradiction_count,latency_seconds,predicted_repeated_value_density,predicted_long_description,predicted_monetary_density,total_field_disagreement,critical_field_disagreement,row_line_item_disagreement,ground_truth_leaf_count,true_line_item_count,true_ocr_token_count,document_has_critical_error,document_has_line_item_critical_error,document_has_row_structure_failure,document_has_row_semantic_association_error,row_permutation_only,weighted_critical_loss,critical_error_weight,critical_supported_weight,critical_error_count_document_total,critical_error_count_subtotal,critical_error_count_tax,critical_error_count_discount,critical_error_count_item_total_price,critical_error_count_item_unit_price,critical_error_count_quantity,critical_support_count_document_total,critical_support_count_subtotal,critical_support_count_tax,critical_support_count_discount,critical_support_count_item_total_price,critical_support_count_item_unit_price,critical_support_count_quantity,E2_matched_row_f1,E2_matched_field_micro_f1
cord-v2-test-00000,cord-v2-test-00000,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,432,648,0.279936,0.6666666666666666,1518.6074203359167,137.02270518975766,90.30366492735517,0.0,0.023976909007773207,0.30162608596250573,0.9414963722229004,10,1,377,True,False,False,False,False,True,False,0.09091666666666667,1,4.615598874999705,0.2,11,0.5,,,,11,1,24,True,True,False,False,False,0.723404255319149,34.0,47.0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,0.4000000000000001
cord-v2-test-00001,cord-v2-test-00001,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,960,1280,1.2288,0.75,18.34327879616354,133.69688151041666,70.18101155014874,0.0,0.010667317708333334,0.33555908203125,0.9943543672561646,8,3,264,True,False,False,True,True,True,False,0.0,0,0.37763024599917117,0.125,11,0.5,,,,8,3,12,False,False,False,False,False,0.0,0.0,34.0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1.0,1.0
cord-v2-test-00002,cord-v2-test-00002,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,864,1296,1.119744,0.6666666666666666,247.80239260936858,96.73482778206447,64.3283975789142,0.0,0.011839313271604939,0.33652781350022865,0.9231501817703247,10,2,386,True,False,False,False,True,True,False,0.0,0,0.42658379199929186,0.2,19,0.4,,,,10,1,25,True,True,True,False,False,0.5454545454545454,24.0,44.0,0,0,0,0,3,0,0,1,1,0,0,3,0,1,0.6666666666666666,0.5
cord-v2-test-00003,cord-v2-test-00003,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,864,1296,1.119744,0.6666666666666666,266.2497053218609,73.29951578217879,62.703710149155846,0.0,0.0148516089391861,0.43161026091678095,0.9993679523468018,8,1,323,True,False,False,False,True,True,False,0.0,0,0.3815052829995693,0.375,10,0.5,,,,8,1,12,False,False,False,False,False,0.0,0.0,36.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1.0,1.0
cord-v2-test-00004,cord-v2-test-00004,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,864,1296,1.119744,0.6666666666666666,111.52734970756931,97.63590963648834,36.3438423097413,0.0,0.016304619627343392,0.12772383687700045,0.9288001656532288,14,3,493,True,False,False,False,True,False,False,0.0,0,0.5671524300014426,0.07142857142857142,19,0.42857142857142855,,,,14,3,23,True,False,False,False,False,0.18181818181818182,10.0,55.0,1,0,0,0,0,0,0,1,1,0,1,3,0,3,1.0,0.6666666666666666
cord-v2-test-00005,cord-v2-test-00005,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,2304,4096,9.437184,0.5625,46.629361681245044,110.48469151390924,87.99537348410018,0.0,0.0061812930636935765,0.5661341349283854,0.9860976934432983,6,1,271,True,False,False,False,False,True,False,0.0,0,0.34191220899811015,0.3333333333333333,19,0.6666666666666666,,,,7,1,16,False,False,False,False,False,0.0,0.0,31.0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.0,1.0
cord-v2-test-00006,cord-v2-test-00006,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,864,1296,1.119744,0.6666666666666666,536.0027567028682,190.72974715649292,25.69072117574704,0.0,0.01705925640146319,0.042359682213077274,0.9955978393554688,12,3,368,True,False,False,True,True,True,False,0.0,0,0.6557180800009519,0.08333333333333333,20,0.3333333333333333,,,,12,3,19,False,False,False,False,False,0.0,0.0,43.0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1.0,0.8888888888888888
cord-v2-test-00007,cord-v2-test-00007,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,576,864,0.497664,0.6666666666666666,1169.9125427240501,116.65136316872427,56.02767796986373,0.0,0.013945151748971193,0.18395945859053497,0.9980081915855408,8,2,327,True,False,False,False,False,True,False,0.0,0,0.5378643189978902,0.0,15,0.625,,,,8,1,16,True,True,True,False,False,0.3404255319148936,16.0,47.0,0,0,0,0,2,0,0,1,1,1,0,3,0,0,0.6666666666666666,0.6666666666666666
cord-v2-test-00008,cord-v2-test-00008,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,864,1296,1.119744,0.6666666666666666,458.0276977838631,132.14583869170096,37.911475056972044,0.0,0.0197446916438043,0.7727007244513031,0.9959996342658997,14,1,470,True,False,False,False,False,True,False,0.0,0,0.6169116189994384,0.42857142857142855,18,0.42857142857142855,,,,14,1,28,False,False,False,False,False,0.0,0.0,56.0,0,0,0,0,0,0,0,1,1,1,0,3,0,3,1.0,1.0
cord-v2-test-00009,cord-v2-test-00009,CORD v2,test,RETROSPECTIVE_LOCKED_BENCHMARK,RETROSPECTIVE_ONLY,576,864,0.497664,0.6666666666666666,345.6659145477645,146.0275808577675,22.96153503536484,0.0,0.02975903420781893,0.2580717110339506,0.9842444062232971,7,1,281,True,False,True,False,True,True,False,0.0,0,0.30280082799799857,0.2857142857142857,16,0.42857142857142855,,,,6,1,11,False,False,False,False,False,0.11538461538461539,3.0,26.0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1.0,0.5714285714285715
