candidate,review_budget,review_rate,automation_coverage,document_selective_risk,line_item_critical_risk,weighted_critical_risk,critical_error_capture,critical_false_accept_count,critical_false_accept_rate,expected_normalized_cost,cost_note
R0_raw_confidence,0.05,0.05,0.95,0.37894736842105264,0.30526315789473685,0.15246419378438325,0.12195121951219512,36,0.37894736842105264,9.05,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.1,0.1,0.9,0.34444444444444444,0.2777777777777778,0.13677602172660266,0.24390243902439024,31,0.34444444444444444,7.85,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.2,0.2,0.8,0.275,0.2125,0.09846570895753008,0.4634146341463415,22,0.275,5.7,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.3,0.3,0.7,0.24285714285714285,0.2,0.09540657122864361,0.5853658536585366,17,0.24285714285714285,4.55,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.4,0.4,0.6,0.23333333333333334,0.18333333333333332,0.08621342268295391,0.6585365853658537,14,0.23333333333333334,3.9,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.5,0.5,0.5,0.2,0.14,0.057740852033637366,0.7560975609756098,10,0.2,3.0,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.6,0.6,0.4,0.175,0.1,0.05681790564925734,0.8292682926829268,7,0.175,2.35,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.7,0.7,0.3,0.1,0.03333333333333333,0.0357363315696649,0.926829268292683,3,0.1,1.45,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R0_raw_confidence,0.8,0.8,0.2,0.15,0.05,0.04735449735449735,0.926829268292683,3,0.15,1.55,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.05,0.05,0.95,0.37894736842105264,0.29473684210526313,0.1552039698724236,0.12195121951219512,36,0.37894736842105264,9.05,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.1,0.1,0.9,0.36666666666666664,0.2777777777777778,0.15529336121898626,0.1951219512195122,33,0.36666666666666664,8.35,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.2,0.2,0.8,0.35,0.275,0.14882264762607259,0.3170731707317073,28,0.35,7.2,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.3,0.3,0.7,0.2714285714285714,0.2,0.1012416642433297,0.5365853658536586,19,0.2714285714285714,5.05,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.4,0.4,0.6,0.23333333333333334,0.18333333333333332,0.09648596197162225,0.6585365853658537,14,0.23333333333333334,3.9,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.5,0.5,0.5,0.24,0.18,0.08892048285590548,0.7073170731707317,12,0.24,3.5,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.6,0.6,0.4,0.175,0.1,0.05681790564925734,0.8292682926829268,7,0.175,2.35,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.7,0.7,0.3,0.1,0.03333333333333333,0.0357363315696649,0.926829268292683,3,0.1,1.45,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R1_current_heuristic,0.8,0.8,0.2,0.15,0.05,0.04735449735449735,0.926829268292683,3,0.15,1.55,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
R4_best_learned,0.05,0.05,0.95,0.3894736842105263,0.3263157894736842,0.17127438039324563,0.0975609756097561,37,0.3894736842105263,9.3,"Illustrative v3.1 costs: review=1, unsafe critical auto-accept=25; not institutional costs."
