feature,importance,direction
foreground_density,0.34537122043323853,nonlinear
missing_discount,0.3135274049627737,nonlinear
sequence_confidence,0.23154143849580852,nonlinear
edge_density,0.05306866108232004,nonlinear
predicted_long_description,0.033918440241285965,nonlinear
missing_total,0.02257283478457323,nonlinear
image_width,0.0,nonlinear
image_height,0.0,nonlinear
image_megapixels,0.0,nonlinear
aspect_ratio,0.0,nonlinear
blur,0.0,nonlinear
luminance,0.0,nonlinear
contrast,0.0,nonlinear
estimated_skew,0.0,nonlinear
predicted_field_count,0.0,nonlinear
predicted_line_item_count,0.0,nonlinear
predicted_output_length,0.0,nonlinear
schema_valid,0.0,nonlinear
parse_failure,0.0,nonlinear
missing_subtotal,0.0,nonlinear
missing_tax,0.0,nonlinear
missing_any_item_price,0.0,nonlinear
reconciliation_residual,0.0,nonlinear
reconciliation_contradiction_count,0.0,nonlinear
latency_seconds,0.0,nonlinear
predicted_repeated_value_density,0.0,nonlinear
predicted_monetary_density,0.0,nonlinear
