candidate,review_budget,automation_coverage,critical_error_capture,critical_false_accept,document_selective_risk
R0,0.05,0.95,0.05,0.3333333333333333,0.3333333333333333
R0,0.1,0.9,0.1,0.3333333333333333,0.3333333333333333
R0,0.2,0.8,0.25,0.3125,0.3125
R0,0.3,0.7,0.5,0.23809523809523808,0.23809523809523808
R0,0.4,0.6,0.6,0.2222222222222222,0.2222222222222222
R0,0.5,0.5,0.7,0.2,0.2
R0,0.6,0.4,0.7,0.25,0.25
R0,0.7,0.3,0.75,0.2777777777777778,0.2777777777777778
R0,0.8,0.2,0.8,0.3333333333333333,0.3333333333333333
R1,0.05,0.95,0.1,0.3157894736842105,0.3157894736842105
R1,0.1,0.9,0.1,0.3333333333333333,0.3333333333333333
R1,0.2,0.8,0.2,0.3333333333333333,0.3333333333333333
R1,0.3,0.7,0.4,0.2857142857142857,0.2857142857142857
R1,0.4,0.6,0.6,0.2222222222222222,0.2222222222222222
R1,0.5,0.5,0.65,0.23333333333333334,0.23333333333333334
R1,0.6,0.4,0.7,0.25,0.25
R1,0.7,0.3,0.75,0.2777777777777778,0.2777777777777778
R1,0.8,0.2,0.8,0.3333333333333333,0.3333333333333333
R2,0.05,0.95,0.0,0.3508771929824561,0.3508771929824561
R2,0.1,0.9,0.05,0.35185185185185186,0.35185185185185186
R2,0.2,0.8,0.25,0.3125,0.3125
R2,0.3,0.7,0.5,0.23809523809523808,0.23809523809523808
R2,0.4,0.6,0.6,0.2222222222222222,0.2222222222222222
R2,0.5,0.5,0.6,0.26666666666666666,0.26666666666666666
R2,0.6,0.4,0.65,0.2916666666666667,0.2916666666666667
R2,0.7,0.3,0.7,0.3333333333333333,0.3333333333333333
R2,0.8,0.2,0.8,0.3333333333333333,0.3333333333333333
R3,0.05,0.95,0.05,0.3333333333333333,0.3333333333333333
R3,0.1,0.9,0.1,0.3333333333333333,0.3333333333333333
R3,0.2,0.8,0.2,0.3333333333333333,0.3333333333333333
R3,0.3,0.7,0.3,0.3333333333333333,0.3333333333333333
R3,0.4,0.6,0.4,0.3333333333333333,0.3333333333333333
R3,0.5,0.5,0.55,0.3,0.3
R3,0.6,0.4,0.65,0.2916666666666667,0.2916666666666667
R3,0.7,0.3,0.7,0.3333333333333333,0.3333333333333333
R3,0.8,0.2,0.8,0.3333333333333333,0.3333333333333333
R4,0.05,0.95,0.05,0.3333333333333333,0.3333333333333333
R4,0.1,0.9,0.1,0.3333333333333333,0.3333333333333333
R4,0.2,0.8,0.3,0.2916666666666667,0.2916666666666667
R4,0.3,0.7,0.4,0.2857142857142857,0.2857142857142857
R4,0.4,0.6,0.5,0.2777777777777778,0.2777777777777778
R4,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333
R4,0.6,0.4,0.6,0.3333333333333333,0.3333333333333333
R4,0.7,0.3,0.7,0.3333333333333333,0.3333333333333333
R4,0.8,0.2,0.75,0.4166666666666667,0.4166666666666667
R5,0.05,0.95,0.05,0.3333333333333333,0.3333333333333333
R5,0.1,0.9,0.1,0.3333333333333333,0.3333333333333333
R5,0.2,0.8,0.15,0.3541666666666667,0.3541666666666667
R5,0.3,0.7,0.35,0.30952380952380953,0.30952380952380953
R5,0.4,0.6,0.5,0.2777777777777778,0.2777777777777778
R5,0.5,0.5,0.55,0.3,0.3
R5,0.6,0.4,0.6,0.3333333333333333,0.3333333333333333
R5,0.7,0.3,0.65,0.3888888888888889,0.3888888888888889
R5,0.8,0.2,0.8,0.3333333333333333,0.3333333333333333
