corruption,severity,support_document_groups,mean_leaf_f1,mean_risk_score,mean_risk_increase_from_clean,critical_proxy_error_rate,AURC,AUROC,PR_AUC,false_negative_critical_errors_below_median_risk
clean,clean,10,0.9221396250808016,0.3174731925524032,0.0,0.1,0.03361111111111111,0.8333333333333334,0.3333333333333333,0
contrast,high,10,0.8191851234420893,0.3132456043497564,-0.004227588202646829,0.2,0.043611111111111114,0.96875,0.8333333333333333,0
contrast,low,10,0.8869747899159665,0.3174731925524032,0.0,0.2,0.09817460317460318,0.71875,0.3666666666666667,0
downsampling,high,10,0.8334033613445377,0.3337356638115125,0.01626247125910925,0.2,0.11817460317460318,0.625,0.29166666666666663,1
downsampling,low,10,0.8714985994397759,0.3337356638115125,0.01626247125910925,0.2,0.11817460317460318,0.625,0.29166666666666663,1
gaussian_blur,high,10,0.7072128851540616,0.327908811876524,0.010435619324120696,0.3,0.12817460317460316,0.8095238095238095,0.6666666666666667,1
gaussian_blur,low,10,0.8572128851540617,0.3337356638115125,0.01626247125910925,0.2,0.11817460317460318,0.625,0.29166666666666663,1
jpeg,high,10,0.8688140033341272,0.3174731925524032,0.0,0.1,0.03361111111111111,0.8333333333333334,0.3333333333333333,0
jpeg,low,10,0.8869747899159665,0.3174731925524032,0.0,0.2,0.09817460317460318,0.71875,0.3666666666666667,0
occlusion,high,10,0.5751848151848151,0.3612122238105012,0.04373903125809802,0.4,0.41492063492063497,0.4166666666666667,0.40714285714285714,2
occlusion,low,10,0.8179570429570429,0.34072216434874514,0.023248971796341944,0.1,0.047896825396825396,0.7222222222222222,0.25,0
rotation,high,10,0.8749447147279964,0.3673501909284505,0.049876998376047255,0.1,0.06456349206349207,0.6111111111111112,0.2,0
rotation,low,10,0.896498599439776,0.3236111596703525,0.006137967117949233,0.1,0.03361111111111111,0.7777777777777778,0.3333333333333333,0
